E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.8741870935467735,661.5358670802082,0.0,0.0,0.0
1.8761880940470232,660.8303228945474,0.0,0.0,0.0
1.8781890945472737,660.1262820657877,8.414795337331486e-34,2.404041145252444e-33,4.688822390168068e-33
1.8801900950475237,659.4237397940668,3.4632796544715034e-33,9.894318819529928e-33,1.9297799335960033e-32
1.8821910955477739,658.7226912999336,7.145855715617499e-33,1.7296091999179598e-32,3.213722597799866e-32
1.8841920960480238,658.0231318242401,4.119585900965571e-32,5.366861110141134e-32,7.323392936412578e-32
1.8861930965482738,657.3250566280335,6.813459193375358e-32,8.110073413666793e-32,1.0335674232172053e-31
1.8881940970485243,656.6284609924493,8.257822916421734e-32,9.37577258888205e-32,1.150729980305855e-31
1.8901950975487742,655.9333402186053,8.147853191224404e-32,8.889158628665874e-32,1.0574818661316926e-31
1.8921960980490244,655.2396896274951,6.503097791867527e-32,6.794413116864823e-32,7.83751925989339e-32
1.8941970985492749,654.5475045598837,3.8318598004995116e-32,4.0965635083938277e-32,5.010487424884845e-32
1.8961980990495249,653.8567803762036,3.6609710483847895e-33,5.508953284483279e-33,1.1512570510476949e-32
1.8981990995497746,653.1675124564501,3.473030811325413e-35,2.81908197218321e-34,1.077501738535649e-33
1.900200100050025,652.4796962000789,0.0,0.0,0.0
1.902201100550275,651.793327025904,0.0,0.0,0.0
1.9042021010505252,651.1084003719952,0.0,0.0,0.0
1.9062031015507752,650.424911695578,0.0,0.0,0.0
1.9082041020510256,649.7428564729321,2.7599330435769725e-33,7.884912619877157e-33,1.5378669749313512e-32
1.9102051025512756,649.0622301992929,5.3358870559370557e-33,1.524421155198357e-32,2.973218681658361e-32
1.9122061030515258,648.3830283887507,3.700357786722942e-32,4.96143220278432e-32,6.804361427229098e-32
1.9142071035517758,647.7052465741539,7.14844887672123e-32,8.505276307094817e-32,1.0605021916982393e-31
1.9162081040520262,647.0288803070094,9.344586756675844e-32,1.0859378581678748e-31,1.3839857273725482e-31
1.918209104552276,646.3539251573869,9.804312758361658e-32,1.1261909839642374e-31,1.4788593292147085e-31
1.920210105052526,645.6803767138206,8.401371763350134e-32,9.593380385644736e-32,1.3219958870371111e-31
1.9222111055527764,645.008230583214,5.578433335888475e-32,6.729127493661265e-32,1.0521264837443272e-31
1.9242121060530266,644.3374823907448,1.7316193808411816e-32,2.841501380408847e-32,6.439599071540182e-32
1.9262131065532766,643.6681277797688,1.1408117225037621e-33,9.260043850109964e-33,3.539348428269607e-32
1.9282141070535266,643.0001624117266,3.781353192169513e-34,3.0693492783711736e-33,1.1731582182609711e-32
1.930215107553777,642.3335819660489,0.0,0.0,0.0
1.932216108054027,641.6683821400646,0.0,0.0,0.0
1.9342171085542768,641.0045586489074,0.0,0.0,0.0
1.9362181090545272,640.3421072254231,1.353166434695467e-33,3.865890559394253e-33,7.540001654557249e-33
1.9382191095547776,639.6810236200799,4.398130337975521e-33,1.2565114029296414e-32,2.4506896694313155e-32
1.9402201100550274,639.0213036008766,2.9015336993233403e-32,4.114227518766702e-32,5.886674582110526e-32
1.9422211105552774,638.3629429532518,7.235122732925681e-32,8.600300361905453e-32,1.0594278859007706e-31
1.9442221110555278,637.7059374799948,1.0299923863883465e-31,1.1708315864676392e-31,1.4008601354844787e-31
1.9462231115557778,637.0502830011567,1.17783920189529e-31,1.522920773802047e-31,2.467352515325237e-31
1.948224112056028,636.3959753539607,1.118466985333692e-31,1.7134220223720263e-31,3.5486660767063127e-31
1.9502251125562784,635.7430103927151,8.670944735579326e-32,1.7568917593370177e-31,4.632998561529256e-31
1.9522261130565284,635.091383988725,5.008242886069788e-32,1.7701204000799102e-31,5.8608765047033205e-31
1.9542271135567784,634.441092030206,2.324516622433657e-32,1.886825444500478e-31,7.211772189753257e-31
1.9562281140570286,633.7921304221966,2.840833112971871e-32,2.3059229387325274e-31,8.813635076703107e-31
1.9582291145572785,633.1444950864734,3.313344251886158e-32,2.689463340684986e-31,1.0279592625934591e-30
1.9602301150575288,632.4981819614648,3.729532928887415e-32,3.027286429537247e-31,1.1570810721568378e-30
1.9622311155577787,631.853187002167,4.091248648626034e-32,3.3208934603891463e-31,1.269302741945392e-30
1.9642321160580287,631.2095061800586,4.4165417521835815e-32,3.5849360139202626e-31,1.3702243587286164e-30
1.9662331165582791,630.5671354830174,4.9191199946206533e-32,3.898348524549716e-31,1.480405620960761e-30
1.9682341170585294,629.9260709152369,6.586499608408689e-32,4.3738837869499195e-31,1.6190990583418425e-30
1.9702351175587793,629.2863084971435,1.239984376784276e-31,5.317281453794309e-31,1.825042622397382e-30
1.9722361180590298,628.6478442653138,1.7191712896652494e-31,6.254471411213119e-31,2.0645312886874143e-30
1.9742371185592797,628.0106742723932,2.020340961086164e-31,7.149288431228801e-31,2.346759963165843e-30
1.9762381190595295,627.3747945870143,2.103035381367278e-31,7.997198592397437e-31,2.682297032166375e-30
1.97823911955978,626.7402012937159,1.9709401294220627e-31,8.82946242616607e-31,3.0821897684410925e-30
1.98024012006003,626.1068904928635,1.6722906647437623e-31,9.710033837987633e-31,3.556753725352562e-30
1.9822411205602801,625.4748583005678,1.3296880118080063e-31,1.0793165123938381e-30,4.125333814376269e-30
1.98424212106053,624.8441008486071,1.5590620652624893e-31,1.2655009415303448e-30,4.836962805879095e-30
1.9862431215607805,624.214614284347,1.8130679594180727e-31,1.4716791979129913e-30,5.62501165260526e-30
1.9882441220610305,623.5863947706629,2.087910182758361e-31,1.6947704398584293e-30,6.477704846418727e-30
1.9902451225612805,622.9594384858615,2.3801270052400045e-31,1.931964758302233e-30,7.384302430369247e-30
1.9922461230615307,622.3337416236033,2.687372070014972e-31,2.181357599945013e-30,8.337524873348913e-30
1.9942471235617811,621.7093003928256,3.009072091880083e-31,2.4424836254134647e-30,9.335593568035579e-30
