r_ocl_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.7,0.95,105.0,74,0.00757363872861952,-536.2133357462509,-536.7815421650516,-536.8004316178357,3.353431330347897,"A""",1.0162471744363428,3.5723164262231912,0.9473,ok,56.2
2.15,1.05,115.0,74,0.013079310623105671,-536.1290614674396,-536.7239002439005,-536.7513425887058,0.9893371764930435,"A""",0.548999228818786,1.4264098578573372,0.9135,ok,100.81
2.3,0.8,135.0,74,0.016260673329850317,-536.0523133526236,-536.6523391625176,-536.6853195378463,0.41431101536441267,A',-0.19300257591503114,1.0227011593702204,0.8828,ok,96.65
2.2,0.9,130.0,74,0.014138449565820131,-536.1083217111294,-536.7029029152206,-536.7319782695677,0.6705541936972161,"A""",0.15893132623594433,1.2688016450085347,0.9019,ok,99.45
2.4,0.9,115.0,74,0.016542560948199045,-536.0893647934471,-536.6942187698238,-536.7285545389694,0.4774590779395549,A',-0.11488154252169865,0.8459354998697108,0.8809,ok,84.08
2.25,0.95,120.0,74,0.014205213276377594,-536.1142557773472,-536.7119812016565,-536.7419535821604,0.6945836588305793,"A""",0.21635844811845736,1.1527851704114778,0.8999,ok,100.11
2.3,1.0,110.0,74,0.015484530986114953,-536.1114522030501,-536.712717413365,-536.7438864713317,0.6762217397047816,"A""",0.23356458202469874,1.0559285557499571,0.8976,ok,98.0
2.15,1.25,90.0,74,0.015296225465299088,-536.0940287532562,-536.6972337268412,-536.7260155205919,1.0879059186223219,"A""",0.8051171467533118,1.4952226604184795,0.9181,ok,102.88
2.2,1.1,105.0,74,0.01438900860413805,-536.117613419601,-536.7166786411192,-536.7454621529231,0.9283103160943935,"A""",0.5709409735069065,1.3090497107040813,0.9107,ok,102.47
2.25,0.8,80.0,74,0.014785513630264655,-536.091196737741,-536.6814237334877,-536.7097094513525,0.8537069079300554,"A""",0.5691472743738166,1.1928117808540681,0.9061,ok,103.2
2.25,1.15,95.0,74,0.01647706841038173,-536.1009770747245,-536.7046824783932,-536.7351343523919,0.8304435644761653,"A""",0.5601762557532387,1.2108753419278766,0.908,ok,101.84
2.35,0.85,125.0,74,0.0155654065410171,-536.0775378296416,-536.6797215007713,-536.7131550462908,0.4656704437972555,A',-0.1369773007329823,0.9254181534281408,0.8823,ok,97.98
2.35,1.05,100.0,74,0.017595466685000567,-536.1016627537416,-536.7069737594987,-536.7397156852755,0.6218593794201852,"A""",0.21011859209337386,0.9746791550084069,0.8951,ok,96.09
2.35,1.25,75.0,74,0.025115950829042596,-536.0581278643858,-536.6708378522102,-536.7060758866162,0.5357808129523173,"A""",0.428440916767028,1.104990009212804,0.9066,warn:t1,95.81
2.4,1.1,90.0,74,0.020549072416622703,-536.0864900105204,-536.6963005838553,-536.7310872599116,0.537614010697336,"A""",0.15085400469120033,0.9094323617384009,0.8928,warn:t1,86.88
2.4,1.25,135.0,74,0.021959283920438628,-536.0227786854897,-536.6479556911181,-536.6883668308436,0.2324099333189279,A',-0.30930446677291334,0.8903986355316683,0.8748,warn:t1,83.39
