basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.31815907953977,940.5860060781782,7.592540267007672e-30,7.705795123812595e-30,7.91633289128704e-30,8.32751431550519e-30
cc-pvtz-dk,1.32016008004002,939.1603357392952,7.054320845994565e-30,7.477476945890653e-30,8.267512036774374e-30,9.823971152645746e-30
cc-pvtz-dk,1.3221610805402702,937.7389807097994,5.146083607575188e-30,5.8035157968224724e-30,7.031873004966649e-30,9.455547585384883e-30
cc-pvtz-dk,1.3241620810405204,936.3219214265205,2.2118403721274485e-30,2.9811046330461435e-30,4.4190183006918055e-30,7.258572905311056e-30
cc-pvtz-dk,1.3261630815407703,934.9091384443606,1.4568661189878662e-30,2.2186458869816834e-30,3.688344525445751e-30,6.771688287015196e-30
cc-pvtz-dk,1.3281640820410205,933.5006124354048,1.1471478729306007e-30,1.8069570898257675e-30,3.186278866284467e-30,6.487504983894414e-30
cc-pvtz-dk,1.3301650825412707,932.0963241880405,6.096412809812832e-31,1.0381019721915927e-30,2.0592276216317237e-30,4.9466932924918445e-30
cc-pvtz-dk,1.3321660830415207,930.6962546060834,1.8146715891404794e-31,4.115524622250441e-31,1.0951924645015205e-30,3.4479624628497454e-30
cc-pvtz-dk,1.334167083541771,929.3003847079115,1.707572778116762e-31,3.8726334035750953e-31,1.0305560798839579e-30,3.244469620158291e-30
cc-pvtz-dk,1.336168084042021,927.9086956256084,1.2675441597619446e-31,2.8746850011361454e-31,7.649895554113554e-31,2.4083942841325196e-30
cc-pvtz-dk,1.3381690845422711,926.5211686041121,5.721461445860403e-32,1.297579991696903e-31,3.4530222983268453e-31,1.0871049294000678e-30
cc-pvtz-dk,1.340170085042521,925.1377850003734,2.39996350207535e-30,2.3869424461398414e-30,2.3622146855081824e-30,2.3118457220932407e-30
cc-pvtz-dk,1.3421710855427713,923.7585262825196,5.538084388748781e-30,5.508037387392674e-30,5.450976342504081e-30,5.334746420788801e-30
cc-pvtz-dk,1.3441720860430215,922.3833740290286,7.664107977857806e-30,7.622526187722594e-30,7.543559892040278e-30,7.382710289947967e-30
cc-pvtz-dk,1.3461730865432715,921.0123099279078,8.513807708395648e-30,8.551982890868381e-30,8.62199989911565e-30,8.754967400282625e-30
