r_obr_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
2.2,1.25,135.0,87,0.014679363152046775,-2679.7879298217304,-2680.3566356006318,-2680.3856564225625,0.795116790548912,"A""",0.37910032725847603,1.5173398699654057,0.9155,ok,433.17
2.15,1.0,135.0,87,0.01137374447593585,-2679.846211721417,-2680.401998966438,-2680.4276786233518,1.0120817592184035,"A""",0.37344577195116413,1.6439931566743264,0.9232,ok,434.8
1.7,1.25,135.0,87,0.008892775743337078,-2679.8388855794155,-2680.385165834813,-2680.4061620606626,2.600942439722972,"A""",0.6150004448023819,2.7619231034064198,0.9443,ok,436.77
1.65,1.25,135.0,87,0.00855713287680945,-2679.8334339146295,-2680.3784432056937,-2680.3990184202116,2.751231113096813,"A""",0.5931976444933216,2.694310267293245,0.9439,ok,436.92
2.1,1.25,135.0,87,0.013591279230353187,-2679.804081220309,-2680.3670360077535,-2680.3937181039573,1.0707515155403866,"A""",0.5085830576094229,1.827135248404786,0.9255,ok,438.73
2.15,1.25,135.0,87,0.014166691817550038,-2679.7960565565013,-2680.361819874389,-2680.389616655059,0.9250707300225219,"A""",0.4509179532748982,1.6656510540808087,0.9207,ok,444.47
1.8,1.25,135.0,87,0.009816334446544615,-2679.839770524055,-2680.3891667342045,-2680.4111563494457,2.217773830180581,"A""",0.6342726684297063,2.8572115575799977,0.9431,ok,445.93
1.75,1.25,135.0,87,0.00931576531913302,-2679.8407240290144,-2680.3884679618873,-2680.4099340135103,2.418833750253406,"A""",0.6284470622848682,2.8359197788667276,0.9441,ok,448.79
1.9,1.25,135.0,87,0.010999952834573693,-2679.8319673932865,-2680.3852119895573,-2680.408436978601,1.8005513898964038,"A""",0.6251961431382921,2.5946992895347405,0.9394,ok,450.07
1.55,1.0,135.0,87,0.005561710939702923,-2679.8607946515313,-2680.3950229825437,-2680.4130518597135,3.9333835572694373,"A""",0.593959798477761,3.1793650760205217,0.957,ok,450.32
2.0,1.0,135.0,87,0.009352328572926468,-2679.870258767564,-2680.4182873059376,-2680.4410091760865,1.5660519372131032,"A""",0.5044173165276002,2.1997232398499933,0.9375,ok,453.59
1.55,1.25,135.0,87,0.008179132551651192,-2679.8072760773025,-2680.3503272154944,-2680.3701957437793,2.907528172553015,"A""",0.5260041605748872,2.69255251011848,0.9414,ok,458.55
2.05,1.25,135.0,87,0.012967107942509758,-2679.811873473036,-2680.3721642558003,-2680.3978380568587,1.2322039169407883,"A""",0.5532051834545079,2.002631633280822,0.9297,ok,461.67
1.6,1.0,135.0,87,0.005731247154271925,-2679.8768464160053,-2680.4119323776545,-2680.430305206212,3.7040541093280517,"A""",0.5901755322577422,3.4866824919091624,0.9562,ok,464.5
1.7,1.0,135.0,87,0.006244097527258966,-2679.892009862333,-2680.4292942050415,-2680.448447576106,3.156600812445505,"A""",0.5801523695984026,3.8194585172440503,0.9536,ok,468.29
1.6,1.25,135.0,87,0.008316797326676019,-2679.823333684332,-2680.367266725368,-2680.3874665112617,2.856822674488112,"A""",0.5630569476921153,2.666225173487648,0.9429,ok,470.21
2.1,1.0,135.0,87,0.010715796907657017,-2679.8544800787904,-2680.4075087772376,-2680.4320895644214,1.1763081996949283,"A""",0.4289330528824865,1.81051244809939,0.9285,ok,471.44
1.65,1.0,135.0,87,0.005956705631692768,-2679.886802891034,-2680.4229050652807,-2680.4416512475536,3.4400867394664356,"A""",0.585409337315353,3.75937803078297,0.9551,ok,475.49
1.55,0.8,75.0,87,0.0054492247377394675,-2679.7772080177656,-2680.313435875086,-2680.3316391736203,4.2312291132412385,"A""",0.9341318876198779,3.947073157233522,0.9591,ok,480.72
2.0,1.25,135.0,87,0.012313000255142216,-2679.8192674392767,-2680.3770473754425,-2680.4018139271943,1.4088287313234722,"A""",0.5864412854698849,2.1920816441631907,0.9335,ok,492.2
2.25,1.25,135.0,87,0.015120848306558908,-2679.7798025241327,-2680.3515718726585,-2680.381926370174,0.6803765380449627,"A""",0.2933246612787852,1.3811455074003534,0.9098,ok,263.03
2.3,1.0,135.0,87,0.013021851268775432,-2679.8213783810265,-2680.386347112002,-2680.416035849116,0.6311657359854836,"A""",0.1274480120227854,1.2299470939860697,0.9042,ok,237.69
2.35,1.25,135.0,87,0.015793302124152853,-2679.7638399246975,-2680.342039384914,-2680.3753789917446,0.4929459018850725,"A""",0.0898179989433948,1.141222746477558,0.8971,ok,194.52
