basis,r_ox_A,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,w1_app,root0_sym,gap_any_eV,gap_app_eV,status,wall_s,omega1_eV,sym1,w1_1,omega2_eV,sym2,w1_2,omega3_eV,sym3,w1_3,omega4_eV,sym4,w1_4,omega5_eV,sym5,w1_5,omega6_eV,sym6,w1_6
aug-cc-pvtz-dk,3.1,128,0.018694708983050774,-2679.7446166989575,-2680.366713134475,-2680.4219890901268,0.13770654392061188,0.806,A',0.17473540969079457,0.2529234290111618,warn:Ap_below+w1,1752.44,-0.7970673500416224,A',0.9732,0.13770654392061188,"A""",0.806,0.3124419536114065,A',0.7893,0.3906299729317737,"A""",0.7824,3.6569606661378042,"A""",0.0009,3.6573969142105676,A',0.0011
aug-cc-pvtz-dk,3.2,128,0.019702184746590856,-2679.7352295014525,-2680.362817560197,-2680.4219842542975,0.11386482567295671,0.7923,A',0.14811851339901455,0.20873116265302333,warn:Ap_below+w1,1850.01,-0.9221111991719709,A',0.9737,0.11386482567295671,"A""",0.7923,0.26198333907197124,A',0.7762,0.32259598832598,"A""",0.7705,3.5130419784225833,A',0.001,3.513658937453645,"A""",0.0009
aug-cc-pvtz-dk,2.6,128,0.012955058909031418,-2679.8059737487583,-2680.399945218873,-2680.43704760476,0.47445593860876173,0.8782,A',-0.10520030972349989,0.6850382746256523,warn:Ap_below+w1,1889.78,0.36925562888526187,A',0.9659,0.47445593860876173,"A""",0.8782,0.8893081023656749,A',0.8676,1.159494213234414,"A""",0.8502,4.941984011555057,A',0.8527,5.050783680098924,"A""",0.0014
aug-cc-pvtz-dk,2.3,128,0.009982589508499555,-2679.8540430910216,-2680.4331250930127,-2680.462486866384,1.0197771480200948,0.9141,"A""",0.4865347064689969,1.2552025430778648,ok,1999.96,1.0197771480200948,"A""",0.9141,1.5063118544890917,A',0.9221,1.986243646297963,A',0.9517,2.2749796910979594,"A""",0.8901,5.897083225716579,A',0.901,6.856630005108044,"A""",0.0026
aug-cc-pvtz-dk,1.9,128,0.007427388736215577,-2679.913142460426,-2680.477410931472,-2680.500544196952,2.5056467665567532,0.9442,"A""",0.7674403110584364,2.8232611146025732,ok,2100.77,2.5056467665567532,"A""",0.9442,3.2730870776151897,A',0.9474,5.328907881159327,"A""",0.9261,5.531058439913572,A',0.9566,6.887902395456369,"A""",0.9362,7.654183939795982,A',0.9427
aug-cc-pvtz-dk,2.15,128,0.008850798107569113,-2679.8791703398297,-2680.451955933135,-2680.478524536363,1.4592237866547657,0.9278,"A""",0.6188275319207588,1.6991328885018513,ok,2081.62,1.4592237866547657,"A""",0.9278,2.0780513185755245,A',0.9295,3.0502552122977318,A',0.9597,3.1583566751566168,"A""",0.9068,6.711048738166979,A',0.9137,7.260631236011712,"A""",0.9251
aug-cc-pvtz-dk,2.9,128,0.016458910927038047,-2679.766146751512,-2680.3769167246137,-2680.4244434518237,0.21810334615126806,0.8351,A',0.24506069467173988,0.374826317941774,warn:Ap_below+w1,2020.95,-0.45789523374749663,A',0.9719,0.21810334615126806,"A""",0.8351,0.46316404082300794,A',0.818,0.592929664093042,"A""",0.8084,4.051045816216293,"A""",0.0011,4.05564721483848,A',0.0019
aug-cc-pvtz-dk,3.0,128,0.017606180445842674,-2679.7549030145888,-2680.3713724088966,-2680.422743033124,0.17147357636993096,0.8204,A',0.20671332676222204,0.3074907384588761,warn:Ap_below+w1,2026.74,-0.644283004805461,A',0.9727,0.17147357636993096,"A""",0.8204,0.378186903132153,A',0.8032,0.478964314828807,"A""",0.7951,3.8335113742348423,"A""",0.001,3.835596633117634,A',0.0013
aug-cc-pvtz-dk,2.8,128,0.015280480262978343,-2679.7783943023114,-2680.383464381731,-2680.4272859844427,0.2811679194753897,0.8498,A',0.29099945195639226,0.4577982303725495,warn:Ap_below+w1,2079.83,-0.23128837614984168,A',0.9709,0.2811679194753897,"A""",0.8498,0.572167371431782,A',0.8335,0.7389661498479393,"A""",0.8221,4.318826101460215,"A""",0.0011,4.327142726688541,A',0.0039
aug-cc-pvtz-dk,2.45,128,0.011360256691662157,-2679.829205170527,-2680.415393330058,-2680.448250660257,0.6999937961558852,0.8975,"A""",0.2462460905968702,0.9274278296085035,warn:w1,2099.0,0.6999937961558852,"A""",0.8975,0.9462398867527553,A',0.9474,1.2775748406473084,A',0.9064,1.6274216257643888,"A""",0.8709,5.330119610235864,A',0.8855,5.82639879270098,"A""",0.0018
aug-cc-pvtz-dk,2.7,128,0.0141017703058481,-2679.7916719114733,-2680.3911176302354,-2680.4314446282533,0.3649405113184206,0.8643,A',-0.3224361729795718,0.5598338442012079,warn:Ap_below+w1,2102.54,0.04250433833884881,A',0.9692,0.3649405113184206,"A""",0.8643,0.7112620154001754,A',0.8498,0.9247743555196284,"A""",0.8361,4.6478110057078865,"A""",0.0013,4.660120276965092,A',0.0314
aug-cc-pvtz-dk,1.8,128,0.006972948634147251,-2679.918419003768,-2680.4800025043014,-2680.5020604391484,3.0174970250688373,0.9489,"A""",0.8068931848642409,3.4233528817185275,ok,2199.35,3.0174970250688373,"A""",0.9489,3.824390209933078,A',0.9526,6.440849906787365,"A""",0.9324,6.724490906019296,"A""",0.9387,6.764231598128441,A',0.9536,7.4900929048102824,A',0.946
aug-cc-pvtz-dk,1.85,128,0.00719370143813239,-2679.916745963318,-2680.4796175592187,-2680.502196848561,2.7577927742881245,0.9467,"A""",0.7885302346347044,3.123035141040668,ok,2228.88,2.7577927742881245,"A""",0.9467,3.5463230089228293,A',0.9502,5.880827915328792,"A""",0.9286,6.1328588989439305,A',0.9552,6.794439177113489,"A""",0.9382,7.576913143590846,A',0.9444
aug-cc-pvtz-dk,2.35,128,0.010414685196041284,-2679.8456453795097,-2680.42701150988,-2680.4574562592657,0.901154235959939,0.9089,"A""",0.4254670976717224,1.1347862774867148,ok,2165.76,0.901154235959939,"A""",0.9089,1.3266213336316615,A',0.9255,1.7053851752792408,A',0.9419,2.035940513446654,"A""",0.884,5.684210061197705,A',0.8962,6.481478408376223,"A""",0.0022
aug-cc-pvtz-dk,2.2,128,0.009201384002211743,-2679.8708920244917,-2680.4456806187254,-2680.473108555747,1.2979109561902646,0.9235,"A""",0.5798462163742588,1.5358531045246395,ok,2205.46,1.2979109561902646,"A""",0.9235,1.8777571725645235,A',0.9258,2.660682538296884,A',0.9589,2.833764060714904,"A""",0.9016,6.407732381019732,A',0.9097,7.314785461490221,"A""",0.9226
aug-cc-pvtz-dk,2.5,128,0.011870709471305687,-2679.82124415073,-2680.409959681524,-2680.4441491632674,0.6155540784161381,0.8913,"A""",0.1313274412295508,0.8383695103700564,warn:w1,2183.11,0.6155540784161381,"A""",0.8913,0.7468815196456888,A',0.9569,1.1245448010175685,A',0.8902,1.4539235887861943,"A""",0.8641,5.184021796432671,A',0.8792,5.542366289283787,"A""",0.0016
aug-cc-pvtz-dk,1.95,128,0.007675426286193797,-2679.908057649584,-2680.4738272831014,-2680.497551722837,2.265402588269376,0.9415,"A""",0.7435097863426744,2.550087032818073,ok,2263.42,2.265402588269376,"A""",0.9415,3.0089123746120503,A',0.9444,4.815489621087449,"A""",0.9232,4.962994482459734,A',0.9577,6.976681968012666,"A""",0.9341,7.72140822426092,A',0.941
aug-cc-pvtz-dk,2.55,128,0.012403260507015608,-2679.813493960532,-2680.4048062605366,-2680.440411407699,0.540660245198776,0.8849,"A""",0.011969766558415829,0.7578382385878589,warn:w1,2206.7,0.540660245198776,"A""",0.8849,0.5526300117571918,A',0.9626,0.9977903506898699,A',0.8778,1.298498483786635,"A""",0.8572,5.055497709946644,A',0.8709,5.2845182182628925,"A""",0.0015
aug-cc-pvtz-dk,1.65,128,0.006381799394886842,-2679.905548822329,-2680.4640114746267,-2680.4846666704893,3.7598095836504153,0.9539,"A""",0.8476611123888035,2.5624417207828767,ok,2319.23,3.7598095836504153,"A""",0.9539,4.607470696039218,A',0.9577,6.3222513044332915,"A""",0.9462,7.186733773717878,A',0.9506,7.765877843596842,"A""",0.9496,8.053587535465999,A',0.952
aug-cc-pvtz-dk,2.25,128,0.00957828024723238,-2679.862484071511,-2680.4393723949584,-2680.4677298510032,1.1517165494656274,0.919,"A""",0.5364899596294381,1.3884148645590058,ok,2269.1,1.1517165494656274,"A""",0.919,1.6882065090950655,A',0.9229,2.305716195800872,A',0.9566,2.5401314140246334,"A""",0.896,6.137337455403788,A',0.9055,7.26581658203408,"A""",0.0063
aug-cc-pvtz-dk,2.05,128,0.008222147120829706,-2679.8948216732047,-2680.4638982923825,-2680.488937555487,1.8298248651864524,0.9352,"A""",0.6870052274221398,2.080712069923107,ok,2309.96,1.8298248651864524,"A""",0.9352,2.516830092608592,A',0.9373,3.910536935109559,"A""",0.916,3.9345958618366708,A',0.9594,7.132867059018082,"A""",0.9297,7.426465163495711,A',0.9208
aug-cc-pvtz-dk,2.1,128,0.00852510539625263,-2679.8871975374072,-2680.4580786899905,-2680.483852920545,1.6363703376830843,0.9316,"A""",0.6544202915956262,1.88007518467915,ok,2309.69,1.6363703376830843,"A""",0.9316,2.2907906292787104,A',0.9335,3.4746715906758663,A',0.9598,3.516445522362234,"A""",0.9116,7.049936169512561,A',0.9173,7.200136369269544,"A""",0.9274
aug-cc-pvtz-dk,1.75,128,0.006764222266236938,-2679.917603256515,-2680.4780149869207,-2680.4995803406973,3.2780884527890453,0.9508,"A""",0.8227201821671187,3.264457667542194,ok,2361.2,3.2780884527890453,"A""",0.9508,4.100808634956164,A',0.9546,6.54254612033124,"A""",0.9422,7.136751954671365,"A""",0.9323,7.386703177470158,A',0.9479,7.425788408889117,A',0.9513
aug-cc-pvtz-dk,2.0,128,0.007939556404773424,-2679.901853447145,-2680.469226050546,-2680.4935839561213,2.0396704169371134,0.9385,"A""",0.716698395913623,2.303271824765468,ok,2384.4,2.0396704169371134,"A""",0.9385,2.7563688128507366,A',0.941,4.342942241702581,"A""",0.9199,4.430634253537091,A',0.9587,7.058445582313259,"A""",0.9319,7.773324435726533,A',0.9382
aug-cc-pvtz-dk,1.7,128,0.006567134803517523,-2679.913603016187,-2680.472970026827,-2680.4940685324214,3.529913556682124,0.9525,"A""",0.8362483793212219,2.907005678801159,ok,2522.7,3.529913556682124,"A""",0.9525,4.366161936003346,A',0.9563,6.436919235483283,"A""",0.9443,7.291677213585243,A',0.9491,7.725488652964745,"A""",0.9383,7.992214471080114,"A""",0.9422
