==============================================================================
== HOX Phase 1 -- 3D CCSD(T) + EOM-CCSD raster for HOCl
==============================================================================
  r(O-Cl) 1.4-2.4 A, 21 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2730 geometries, def2-tzvp, 4 EOM roots
  estimate 84 CPU-hours = 2.8 h on 30 workers at 111 s/point
  60 already in hocl_pes_raster.csv, 2670 to run

  2230/2670  ok=2225 warn=5 bad=0  1068 pts/h  eta 24.7 min
  2240/2670  ok=2234 warn=6 bad=0  1067 pts/h  eta 24.2 min
  2250/2670  ok=2244 warn=6 bad=0  1068 pts/h  eta 23.6 min
  2260/2670  ok=2253 warn=7 bad=0  1068 pts/h  eta 23.0 min
  2270/2670  ok=2263 warn=7 bad=0  1068 pts/h  eta 22.5 min
  2280/2670  ok=2272 warn=8 bad=0  1069 pts/h  eta 21.9 min
  2290/2670  ok=2281 warn=9 bad=0  1069 pts/h  eta 21.3 min
  2300/2670  ok=2290 warn=10 bad=0  1069 pts/h  eta 20.8 min
  2310/2670  ok=2300 warn=10 bad=0  1069 pts/h  eta 20.2 min
  2320/2670  ok=2307 warn=13 bad=0  1069 pts/h  eta 19.6 min
  2330/2670  ok=2313 warn=17 bad=0  1070 pts/h  eta 19.1 min
  2340/2670  ok=2323 warn=17 bad=0  1071 pts/h  eta 18.5 min
  2350/2670  ok=2332 warn=18 bad=0  1070 pts/h  eta 17.9 min
  2360/2670  ok=2340 warn=20 bad=0  1070 pts/h  eta 17.4 min
  2370/2670  ok=2347 warn=23 bad=0  1072 pts/h  eta 16.8 min
  2380/2670  ok=2355 warn=25 bad=0  1071 pts/h  eta 16.3 min
  2390/2670  ok=2363 warn=27 bad=0  1070 pts/h  eta 15.7 min
  2400/2670  ok=2369 warn=31 bad=0  1072 pts/h  eta 15.1 min
  2410/2670  ok=2375 warn=35 bad=0  1070 pts/h  eta 14.6 min
  2420/2670  ok=2384 warn=36 bad=0  1070 pts/h  eta 14.0 min
  2430/2670  ok=2390 warn=40 bad=0  1072 pts/h  eta 13.4 min
  2440/2670  ok=2399 warn=41 bad=0  1069 pts/h  eta 12.9 min
  2450/2670  ok=2405 warn=45 bad=0  1069 pts/h  eta 12.3 min
  2460/2670  ok=2413 warn=47 bad=0  1072 pts/h  eta 11.8 min
  2470/2670  ok=2416 warn=54 bad=0  1069 pts/h  eta 11.2 min
  2480/2670  ok=2424 warn=56 bad=0  1070 pts/h  eta 10.7 min
  2490/2670  ok=2431 warn=59 bad=0  1071 pts/h  eta 10.1 min
  2500/2670  ok=2435 warn=65 bad=0  1071 pts/h  eta 9.5 min
  2510/2670  ok=2439 warn=71 bad=0  1069 pts/h  eta 9.0 min
  2520/2670  ok=2445 warn=75 bad=0  1070 pts/h  eta 8.4 min
  2530/2670  ok=2450 warn=80 bad=0  1071 pts/h  eta 7.8 min
  2540/2670  ok=2454 warn=86 bad=0  1069 pts/h  eta 7.3 min
  2550/2670  ok=2461 warn=89 bad=0  1070 pts/h  eta 6.7 min
  2560/2670  ok=2465 warn=95 bad=0  1072 pts/h  eta 6.2 min
  2570/2670  ok=2469 warn=101 bad=0  1068 pts/h  eta 5.6 min
  2580/2670  ok=2473 warn=107 bad=0  1070 pts/h  eta 5.0 min
  2590/2670  ok=2478 warn=112 bad=0  1071 pts/h  eta 4.5 min
  2600/2670  ok=2482 warn=118 bad=0  1069 pts/h  eta 3.9 min
  2610/2670  ok=2483 warn=127 bad=0  1069 pts/h  eta 3.4 min
  2620/2670  ok=2488 warn=132 bad=0  1070 pts/h  eta 2.8 min
  2630/2670  ok=2491 warn=139 bad=0  1068 pts/h  eta 2.2 min
  2640/2670  ok=2491 warn=149 bad=0  1068 pts/h  eta 1.7 min
  2650/2670  ok=2491 warn=159 bad=0  1070 pts/h  eta 1.1 min
  2660/2670  ok=2492 warn=168 bad=0  1072 pts/h  eta 0.6 min
  2670/2670  ok=2492 warn=178 bad=0  1073 pts/h  eta 0.0 min

done: 2492 ok, 178 warned, 0 failed, 149.3 min
measured 101 CPU-s per point (was assuming 111)
-> the full 2730-point raster is 76 CPU-hours = 2.5 h on 30 workers

inspect: awk -F, 'NR==1||$14!="ok"' hocl_pes_raster.csv | head -30
