E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.8761880940470232,660.8303228945474,0.0,0.0,0.0
1.8781890945472737,660.1262820657877,4.207397668665743e-34,1.202020572626222e-33,2.344411195084034e-33
1.8801900950475237,659.4237397940668,1.7316398272357517e-33,4.947159409764964e-33,9.648899667980017e-33
1.8821910955477739,658.7226912999336,3.5729278578087496e-33,8.648045999589799e-33,1.606861298899933e-32
1.8841920960480238,658.0231318242401,2.0597929504827855e-32,2.683430555070567e-32,3.661696468206289e-32
1.8861930965482738,657.3250566280335,3.406729596687679e-32,4.0550367068333965e-32,5.167837116086027e-32
1.8881940970485243,656.6284609924493,4.128911458210867e-32,4.687886294441025e-32,5.753649901529275e-32
1.8901950975487742,655.9333402186053,4.073926595612202e-32,4.444579314332937e-32,5.287409330658463e-32
1.8921960980490244,655.2396896274951,3.2515488959337634e-32,3.3972065584324116e-32,3.918759629946695e-32
1.8941970985492749,654.5475045598837,1.9159299002497558e-32,2.0482817541969138e-32,2.5052437124424226e-32
1.8961980990495249,653.8567803762036,1.8304855241923947e-33,2.7544766422416396e-33,5.7562852552384746e-33
1.8981990995497746,653.1675124564501,1.7365154056627066e-35,1.409540986091605e-34,5.387508692678245e-34
1.900200100050025,652.4796962000789,0.0,0.0,0.0
1.902201100550275,651.793327025904,0.0,0.0,0.0
1.9042021010505252,651.1084003719952,0.0,0.0,0.0
1.9062031015507752,650.424911695578,0.0,0.0,0.0
1.9082041020510256,649.7428564729321,1.3799665217884862e-33,3.9424563099385784e-33,7.689334874656756e-33
1.9102051025512756,649.0622301992929,2.6679435279685278e-33,7.622105775991785e-33,1.4866093408291805e-32
1.9122061030515258,648.3830283887507,1.850178893361471e-32,2.48071610139216e-32,3.402180713614549e-32
1.9142071035517758,647.7052465741539,3.574224438360615e-32,4.252638153547409e-32,5.302510958491197e-32
1.9162081040520262,647.0288803070094,4.672293378337922e-32,5.429689290839374e-32,6.919928636862741e-32
1.918209104552276,646.3539251573869,4.902156379180829e-32,5.630954919821187e-32,7.394296646073543e-32
1.920210105052526,645.6803767138206,4.200685881675067e-32,4.796690192822368e-32,6.609979435185556e-32
1.9222111055527764,645.008230583214,2.789216667944238e-32,3.3645637468306327e-32,5.260632418721636e-32
1.9242121060530266,644.3374823907448,8.658096904205908e-33,1.4207506902044234e-32,3.219799535770091e-32
1.9262131065532766,643.6681277797688,5.704058612518811e-34,4.630021925054982e-33,1.7696742141348036e-32
1.9282141070535266,643.0001624117266,1.8906765960847564e-34,1.5346746391855868e-33,5.8657910913048554e-33
1.930215107553777,642.3335819660489,0.0,0.0,0.0
1.932216108054027,641.6683821400646,0.0,0.0,0.0
1.9342171085542768,641.0045586489074,0.0,0.0,0.0
