r_ocl_A,r_oh_A,theta_deg,ncas,nelecas,conv_cas,e_casscf_Ha,e_nevpt2_Ha,s2,gap_app_eV,status,wall_s
2.3,1.1,135.0,6,10,True,-536.158759117808,-536.6327878715406,1.999999999999999,0.6466891562500788,ok,4.18
2.3,1.1,105.0,6,10,True,-536.1619607142339,-536.638169726713,2.0000000000000004,0.6764383187672255,ok,4.28
2.3,1.15,95.0,6,10,True,-536.1514527551916,-536.6299787546333,1.9999999999999998,0.6849147794097038,ok,4.24
2.3,1.15,75.0,6,10,True,-536.1477826730298,-536.6282094230367,2.0000000000000004,0.7112513405915845,ok,4.27
2.3,1.15,125.0,6,10,True,-536.1497435135129,-536.6263165942971,2.0000000000000004,0.6550290538618438,ok,4.16
2.3,1.15,135.0,6,10,True,-536.1484114312559,-536.6241860908458,2.0,0.6418524508371775,ok,4.16
2.3,1.2,85.0,6,10,True,-536.1385183986,-536.6195444967857,2.0000000000000004,0.6955008637838196,ok,4.2
2.3,1.2,105.0,6,10,True,-536.1398053609472,-536.6194219923422,2.0,0.6741965360883709,ok,4.07
2.3,1.2,75.0,6,10,True,-536.1359132805369,-536.6181748277455,2.0000000000000013,0.7135698548310971,ok,4.36
2.3,1.2,115.0,6,10,True,-536.1391909523497,-536.6181725730381,1.9999999999999996,0.6636993714092918,ok,4.09
2.3,1.2,125.0,6,10,True,-536.1381336826997,-536.6164236844368,2.0000000000000004,0.6515777585734716,ok,2.47
2.3,1.2,135.0,6,10,True,-536.1368335017585,-536.614333587414,2.000000000000001,0.6365596060373119,ok,2.5
2.3,1.25,75.0,6,10,True,-536.1232816914683,-536.6073488017862,2.0,0.7153148994703273,ok,3.93
2.3,1.25,85.0,6,10,True,-536.125923233161,-536.6086618670128,2.000000000000016,0.6950042758383376,ok,4.01
2.3,1.25,95.0,6,10,True,-536.1271622194704,-536.6090784170672,2.0000000000000004,0.6827513898328587,ok,3.83
2.3,1.25,105.0,6,10,True,-536.1273240967744,-536.608615666507,2.0,0.6722874423535969,ok,3.84
2.3,1.25,135.0,6,10,True,-536.1244838555285,-536.6036957530545,1.9999999999999993,0.6308779603478353,ok,3.75
2.3,1.25,115.0,6,10,True,-536.1267595870692,-536.6074235731072,2.0,0.6610240825860751,ok,3.84
2.3,1.25,125.0,6,10,True,-536.1257469135473,-536.60573945701,2.0000000000000004,0.6476768338471811,ok,3.84
2.4,0.95,85.0,6,10,True,-536.1805910498499,-536.6491147058038,2.0,0.5110393593194122,ok,2.9
2.4,0.95,95.0,6,10,True,-536.1811806991634,-536.6492558616943,2.0,0.5083307310598918,ok,2.82
2.4,0.8,75.0,6,10,True,-536.1446148626568,-536.608255705647,1.9999999999999996,0.4980450283405874,ok,4.53
2.4,0.8,85.0,6,10,True,-536.1458678281701,-536.6091673496517,2.0000000000000013,0.4998297147552517,ok,4.57
2.4,0.8,115.0,6,10,True,-536.1453219055935,-536.6073155460289,2.000000000000001,0.4999549307393396,ok,4.53
2.4,0.8,105.0,6,10,True,-536.1459814432096,-536.6084912791018,1.9999999999999993,0.49944806662893765,ok,4.55
2.4,0.8,95.0,6,10,True,-536.1462362342858,-536.6091375343547,1.9999999999999996,0.49982210980079106,ok,4.69
2.4,0.85,75.0,6,10,True,-536.1653982417839,-536.6307867216989,2.0000000000000004,0.5038048638655389,ok,4.57
2.4,0.9,85.0,6,10,True,-536.1774052215134,-536.6441449544507,1.9999999999999991,0.5078865681231501,ok,4.44
2.4,0.85,85.0,6,10,True,-536.1667839445331,-536.6317729317198,1.9999999999999996,0.5041458449309367,ok,4.62
2.4,0.85,105.0,6,10,True,-536.1670151956407,-536.6311771700965,1.9999999999999991,0.5020788563100279,ok,4.64
2.4,0.8,125.0,6,10,True,-536.1444331394067,-536.605818951101,1.9999999999999984,0.5019311819415598,ok,4.79
2.4,0.85,115.0,6,10,True,-536.1663707829789,-536.6300088564224,1.9999999999999993,0.5016470929938317,ok,4.69
2.4,0.9,75.0,6,10,True,-536.1758957004499,-536.643103168826,2.0,0.5090575567715877,ok,4.6
2.4,0.9,105.0,6,10,True,-536.1777496346274,-536.6436290132185,1.9999999999999996,0.5041595983036312,ok,4.55
2.4,0.9,95.0,6,10,True,-536.1779251448535,-536.6442359360695,2.0000000000000004,0.5060761034246937,ok,4.59
2.4,0.85,125.0,6,10,True,-536.165479748428,-536.6285238364491,2.0000000000000004,0.5023483323564993,ok,4.76
2.4,0.85,135.0,6,10,True,-536.1644819871482,-536.626851845229,1.9999999999999996,0.5035377781822822,ok,4.77
2.4,0.8,135.0,6,10,True,-536.1434499880957,-536.6041521326646,1.9999999999999998,0.5047769469633889,ok,5.11
2.4,0.9,115.0,6,10,True,-536.1771210785344,-536.6424774679305,2.0,0.5027931305870076,ok,4.66
2.4,0.9,135.0,6,10,True,-536.1752203498042,-536.6392670174059,1.9999999999999998,0.5017128377888718,ok,4.6
2.4,0.9,125.0,6,10,True,-536.1762300433542,-536.6409828848036,1.999999999999999,0.502211867893319,ok,4.81
2.4,0.95,75.0,6,10,True,-536.178968488848,-536.6480336047925,2.0000000000000004,0.5137983978124819,ok,4.78
2.4,1.0,115.0,6,10,True,-536.178380300347,-536.6471767206117,2.0,0.503400448424113,ok,2.69
2.4,1.0,125.0,6,10,True,-536.1774982356422,-536.6457139623,1.9999999999999996,0.5002719462886875,ok,2.78
2.4,0.95,105.0,6,10,True,-536.1810432975452,-536.6486578831043,1.9999999999999998,0.505667332373021,ok,4.13
2.4,0.95,115.0,6,10,True,-536.1804319895696,-536.6475201035568,2.0000000000000004,0.5033802290992169,ok,4.26
2.4,1.0,75.0,6,10,True,-536.1766937764883,-536.6476241686216,2.0000000000000018,0.5180117282694158,ok,4.12
